event,debit_project,debit_subproject,debit_amount,credit_project,credit_suproject,credit_amount
公司开出现金支票，从银行提取现金5000元，以用于零星开支,库存现金,,5000,,,
,银行存款,,,,,5000
有限公司用现金200元购买办公用品 ,管理费用,,200,,,
,库存现金,,,,,200
公司行政管理部门职工王刚，因公差预借备用金350元。（企业不单独设立备用金科目） ,其他应收款,备用金（王刚）,350,,,
,库存现金,,,,,350
王刚预借备用金350，实际支出200元，剩余现金150元交回财会部门。,管理费用,,150,,,
,库存现金,,,,,150
公司在对现金进行清查时，发现短缺60元。上述现金短缺，无法查明原因。 ,待处理财产损溢,待处理流动资产损溢,60,,,
,库存现金,,,,,60
职工张某三凭证审核的发票报销差旅费，单位支付其现金970元,管理费用,,970,,,
,库存现金,,,,,970
职工王五报销医药费830元，单位以现金付讫,应付职工薪酬,,830,,,
,库存现金,,,,,830
职工王二报销医药费1679元，单位以现金支票付讫,应付职工薪酬,,1679,,,
,银行存款 ,,,,,1679
职工出差借差旅费，单位交付其现金900元 ,其他应收款,,900,,,
,库存现金,,,,,900
支付需安装的新生产线的安装费12000元，以银行存款支付,在建工程,,12000,,,
,银行存款 ,,,,,12000
用银行转账的形式支付本期工资87000元,应付职工薪酬,工资,87000,,,
,银行存款 ,,,,,87000
用银行存款支付本期工资68000 ,应付职工薪酬,工资,68000,,,
,银行存款 ,,,,,68000
用银行存款缴纳本期应交增值税28900元 ,应交税金,应交增值税（已交税金）,28900,,,
,银行存款 ,,,,,28900
用银行存款的形式偿还前期应付票据8000元 ,应付票据,,8000,,,
,银行存款 ,,,,,8000
用银行存款偿还上期购货欠货款43100元,应付账款,,43100,,,
,银行存款 ,,,,,43100
用银行存款200000偿还机器设备的购置费,应付账款,,200000,,,
,银行存款 ,,,,,200000
用银行存款175400元取得一项专利权,无形资产,,175400,,,
,银行存款 ,,,,,175400
用现金支付本期工资99000元,应付职工薪酬,工资,99000,,,
,库存现金,,,,,99000
用现金700元购办公用品,管理费用,,700,,,
,库存现金,,,,,700
以银行转账的形式支付本期工资93000元 ,应付职工薪酬,工资,93000,,,
,银行存款 ,,,,,93000
以银行存款支付销售乙商品应负担的运输费87000元,销售费用,,87000,,,
,银行存款,,,,,87000
以银行存款支付销售商品的广告费59000元,销售费用,,59000,,,
,银行存款 ,,,,,59000
以银行存款支付销售甲商品应负担的运输费9000元,销售费用,,9000,,,
,银行存款,,,,,9000
以银行存款支付退休金30000元 ,管理费用,,30000,,,
,银行存款,,,,,30000
以银行存款支付短期借款利息6000元(尚未计提) ,财务费用,,6000,,,
,银行存款,,,,,6000
以银行存款支付到期的应付票据70000元 ,应付票据,,70000,,,
,银行存款 ,,,,,70000
以银行存款支付本期生产甲乙两商品共同耗用的水电费10000元,制造费用,,10000,,,
,银行存款,,,,,10000
以银行存款缴纳已计提的应付所得税10000元 ,应交税金,应交增值税,10000,,,
,银行存款,,,,,10000
期末盘盈存货(A原材料)90000元，原因尚未查明,原材料,A材料,90000,,,
,待处理财产损益,,,,,90000
期末结转本期已销售乙商品成本为79500元,主营业务成本,,79500,,,
,库存商品,,,,,79500
期末结转本期已销售乙商品成本为188844元 ,主营业务成本,,188844,,,
,库存商品,,,,,188844
经批准，将上期期末盘亏存货8000元转作管理费用,管理费用,,8000,,,
,待处理财产损益,,,,,8000
结转销售的多余生产用A材料成本9100元 ,其他业务成本,,9100,,,
,原材料,,,,,9100
