0,event,debit_project,debit_subproject,debit_amount,credit_project,credit_suproject,credit_amount
1,公司开出现金支票，从银行提取现金5000元，以用于零星开支,借方:库存现金,,5000,贷方:银行存款,,5000
2,有限公司用现金200元购买办公用品 ,借方:管理费用,,200,贷方:库存现金,,200
3,公司行政管理部门职工王刚，因公差预借备用金350元。（企业不单独设立备用金科目） ,借方:其它应收款,备用金（王刚）,350,贷方:库存现金,,350
4,王刚预借备用金350，实际支出200元，剩余现金150元交回财会部门。,借方:管理费用,,150,贷方:库存现金,,150
5,公司在对现金进行清查时，发现短缺60元。上述现金短缺，无法查明原因。 ,借方:待处理财产损益,待处理流动资产损溢,60,贷方:库存现金,,60
6,职工张某三凭证审核的发票报销差旅费，单位支付其现金970元,借方:管理费用,,970,贷方:库存现金,,970
7,职工王五报销医药费830元，单位以现金付讫,借方:应付职工薪酬,,830,贷方:库存现金,,830
8,职工王二报销医药费1679元，单位以现金支票付讫,借方:应付职工薪酬,,1679,贷方:银行存款 ,,1679
9,职工出差借差旅费，单位交付其现金900元 ,借方:其它应收款,,900,贷方:库存现金,,900
10,支付需安装的新生产线的安装费12000元，以银行存款支付,借方:在建工程,,12000,贷方:银行存款 ,,12000
11,用银行转账的形式支付本期工资87000元,借方:应付职工薪酬,工资,87000,贷方:银行存款 ,,87000
12,用银行存款支付本期工资68000 ,借方:应付职工薪酬,工资,68000,贷方:银行存款 ,,68000
13,用银行存款缴纳本期应交增值税28900元 ,借方:应交税费,应交增值税（已交税费）,28900,贷方:银行存款 ,,28900
14,用银行存款的形式偿还前期应付票据8000元 ,借方:应付票据,,8000,贷方:银行存款 ,,8000
15,用银行存款偿还上期购货欠货款43100元,借方:应付账款,,43100,贷方:银行存款 ,,43100
16,用银行存款200000偿还机器设备的购置费,借方:应付账款,,200000,贷方:银行存款 ,,200000
17,用银行存款175400元取得一项专利权,借方:无形资产,,175400,贷方:银行存款 ,,175400
18,用现金支付本期工资99000元,借方:应付职工薪酬,工资,99000,贷方:库存现金,,99000
19,用现金700元购办公用品,借方:管理费用,,700,贷方:库存现金,,700
20,以银行转账的形式支付本期工资93000元 ,借方:应付职工薪酬,工资,93000,贷方:银行存款 ,,93000
21,以银行存款支付销售乙商品应负担的运输费87000元,借方:销售费用,,87000,贷方:银行存款,,87000
22,以银行存款支付销售商品的广告费59000元,借方:销售费用,,59000,贷方:银行存款 ,,59000
23,以银行存款支付销售甲商品应负担的运输费9000元,借方:销售费用,,9000,贷方:银行存款,,9000
24,以银行存款支付退休金30000元 ,借方:管理费用,,30000,贷方:银行存款,,30000
25,以银行存款支付短期借款利息6000元(尚未计提) ,借方:财务费用,,6000,贷方:银行存款,,6000
26,以银行存款支付到期的应付票据70000元 ,借方:应付票据,,70000,贷方:银行存款 ,,70000
27,以银行存款支付本期生产甲乙两商品共同耗用的水电费10000元,借方:制造费用,,10000,贷方:银行存款,,10000
28,以银行存款缴纳已计提的应付所得税10000元 ,借方:应交税费,应交增值税,10000,贷方:银行存款,,10000
29,期末盘盈存货(A原材料)90000元，原因尚未查明,借方:原材料,A材料,90000,贷方:待处理财产损益,,90000
30,期末结转本期已销售乙商品成本为79500元,借方:主营业务成本,,79500,贷方:库存商品,,79500
31,期末结转本期已销售乙商品成本为188844元 ,借方:主营业务成本,,188844,贷方:库存商品,,188844
32,经批准，将上期期末盘亏存货8000元转作管理费用,借方:管理费用,,8000,贷方:待处理财产损益,,8000
33,结转销售的多余生产用A材料成本9100元 ,借方:其它业务成本,,9100,贷方:原材料,,9100
34,购置一条安装的新生产线价值250000元，以银行支票支付 ,借方:在建工程,,250000,贷方:银行存款 ,,250000
35,购置一台大型机器设备价值200000，款未付,借方:固定资产,,200000,贷方:应付账款,,200000
36,购置一台大型机器设备价值150000元，以银行承税汇票支付,借方:固定资产,,150000,贷方:应付票据,,150000
37,购买电脑一台价值8000元 ,借方:固定资产,,8000,贷方:银行存款 ,,8000
38,单位提取现金800元备用,借方:库存现金,,800,贷方:银行存款 ,,800
39,单位办公室报销会务费8600元，以现金支票支付,借方:管理费用,,8600,贷方:银行存款 ,,8600
40,从银行提取现金99000元,借方:库存现金,,99000,贷方:银行存款 ,,99000
41,从银行取得一笔200000元的短期借款，款存银行,借方:银行存款 ,,200000,贷方:短期借款,,200000
42,偿还前期欠货款220000元，用银行存款支付,借方:应付账款,,220000,贷方:银行存款 ,,220000
43,收到外商投资计80 000元存入银行。,借方:银行存款 ,,80000,贷方:实收资本,,80000
44,收到国家投入全新的机器设备一台，价值34 000元。 ,借方:固定资产,,34000,贷方:实收资本 ,,34000
45,以银行存款2 000元归还到期的银行借款(借款期为半年),借方:短期借款,,2000,贷方:银行存款 ,,2000
46,开出现金支票20000元偿还前欠红光工厂的材料款。 ,借方:应付账款,红光工厂,20000,贷方:银行存款 ,,20000
47,向银行借入1000000元，期限三年，款已入账,借方:银行存款 ,,1000000,贷方:长期借款,,1000000
48,收到A公司捐赠的专利权一项，价值50000元,借方:无形资产,,50000,贷方:营业外收入,,50000
49,用转账支票上交增值税2200元,借方:应交税费,应交增值税,2200,贷方:银行存款 ,,2200
50,向银行借款(期限9个月)2 000元，偿还前欠振华工厂购料款,借方:应付账款,,2000,贷方:短期借款,,2000
51,通过银行支付职工工资100000元,借方:应付职工薪酬,,100000,贷方:银行存款 ,,10000
52,红星公司同意将公司所欠B公司货款10 000元转作对本企业的投人资本,借方:应付账款,红星公司,10000,贷方:实收资本 ,,10000
53,商业汇票50000到期，以银行存款支付,借方:应付票据,,50000,贷方:银行存款 ,,50000
54,以银行存款支付现金股利100000元,借方:应付股利,,100000,贷方:银行存款,,100000
55,银行承兑汇票117000元到期，用银行存款偿还,借方:应付票据,银行承兑汇票,117000,贷方:银行存款 ,,117000
56,采购员李力预借差旅费2000元，现金付讫,借方:其它应收款,李力,2000,贷方:库存现金,,2000
57,李力出差回厂报销差旅费2000元,借方:管理费用,,2000,贷方:其它应收款,,2000
58,从银行提取现金60000元，备发工资,借方:库存现金,,60000,贷方:银行存款 ,,60000
